Designator,Mid X,Mid Y,Rotation,Layer
C1,127.5,-138.24,270.0,top
C2,136.68,-138.77,90.0,top
C3,151.02,-138.75,90.0,top
C4,141.5,-136.35,270.0,top
C5,173.7,-137.65,0.0,top
D1,109.38,-136.7175,90.0,top
D10,224.886664,-132.8875,270.0,top
D11,235.086664,-132.825,270.0,top
D12,222.366664,-132.9,270.0,top
D13,232.486664,-132.9,270.0,top
D14,219.817776,-132.9,270.0,top
D15,237.686664,-132.85,270.0,top
D16,217.268888,-132.9,270.0,top
D17,214.72,-132.9,270.0,top
D18,229.886664,-132.9,270.0,top
D19,227.386664,-132.9,270.0,top
D2,203.72,-132.8,270.0,top
D3,198.634285,-132.8,270.0,top
D4,201.177142,-132.8,270.0,top
D5,188.462857,-132.8,270.0,top
D6,185.92,-132.8,270.0,top
D7,196.091428,-132.8,270.0,top
D8,193.548571,-132.8,270.0,top
D9,191.005714,-132.8,270.0,top
J1,70.17,-138.0575,0.0,top
J10,110.860714,-116.875,180.0,top
J11,122.067856,-114.99,90.0,top
J12,145.939284,-114.99,90.0,top
J13,134.803571,-116.8625,180.0,top
J14,169.810712,-114.99,90.0,top
J15,158.746428,-116.875,180.0,top
J16,193.68214,-114.99,90.0,top
J17,182.689285,-116.875,180.0,top
J18,206.632142,-116.875,180.0,top
J19,217.553568,-114.99,90.0,top
J2,100.8,-135.2,180.0,top
J20,241.425,-114.99,90.0,top
J21,230.575,-116.875,180.0,top
J3,117.5,-135.2,180.0,top
J4,194.715,-138.1,0.0,top
J5,226.125,-138.1,0.0,top
J6,74.325,-114.99,90.0,top
J7,62.975,-116.875,180.0,top
J8,86.917857,-116.875,180.0,top
J9,98.196428,-114.99,90.0,top
R1,109.41,-133.3375,90.0,top
R10,201.177142,-129.3375,90.0,top
R11,193.548571,-129.3375,270.0,top
R12,185.92,-129.3375,270.0,top
R13,196.091428,-129.3375,270.0,top
R14,198.634285,-129.3375,270.0,top
R15,203.72,-129.3375,90.0,top
R16,191.005714,-129.3375,270.0,top
R17,188.462857,-129.3375,270.0,top
R18,214.72,-129.4,270.0,top
R19,235.08,-129.365,270.0,top
R2,162.724285,-132.76,90.0,top
R20,237.668888,-129.375,270.0,top
R21,217.264444,-129.4,270.0,top
R22,232.464444,-129.4,270.0,top
R23,222.353332,-129.4,270.0,top
R24,224.895556,-129.3875,270.0,top
R25,219.808888,-129.4,270.0,top
R26,227.391112,-129.4,270.0,top
R27,229.886664,-129.4,270.0,top
R3,173.34571,-132.76,90.0,top
R4,169.09714,-132.76,90.0,top
R5,171.221425,-132.76,90.0,top
R6,175.47,-132.76,90.0,top
R7,166.972855,-132.76,90.0,top
R8,164.84857,-132.76,90.0,top
R9,160.6,-132.76,90.0,top
U1,132.0625,-134.685,90.0,top
U2,146.2,-136.55,270.0,top
U3,168.0825,-139.98,270.0,top
